Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
NLIC,870.00,-0.46,873.70,870.00,872.10,"14,924"
NLICL,668.00,-0.7,668.00,660.00,660.00,870
NMB,275.00,-0.73,277.00,275.00,276.00,"14,669"
NMBHF2,9.22,-1.91,9.22,9.22,9.22,500
NMBMF,792.00,-0.05,794.00,792.00,792.00,400
NMFBS,"1,446.10",-1.82,"1,450.00","1,445.50","1,445.50",181
NMIC,"1,724.30",-0.64,"1,744.00","1,711.10","1,711.10",170
NMLBBL,754.00,-1.43,765.00,752.10,765.00,"6,134"
NRIC,"1,574.00",-0.81,"1,591.00","1,568.00","1,587.00","11,623"
NRM,495.00,-0.1,503.30,495.00,499.80,"5,823"
NRN,"2,353.00",0.33,"2,370.00","2,345.00","2,345.00","19,868"
NSIF2,11.63,0.35,11.63,11.63,11.63,"3,000"
NTC,921.00,0.02,928.90,913.00,928.90,"2,483"
NUBL,825.00,-0.74,845.00,825.00,845.00,"1,560"
NWCL,990.00,-0.39,"1,010.00",990.00,"1,010.00",65
NYADI,468.00,-0.13,470.00,467.50,470.00,870
OHL,920.30,-0.3,920.30,920.30,920.30,10
OMPL,"1,549.00",1.77,"1,559.00","1,510.00","1,520.00","6,400"
PCBL,276.50,-1.12,281.00,276.50,280.00,"5,261"
PFL,455.00,0.18,460.90,454.00,458.00,"5,010"
PHCL,545.00,0.9,549.90,540.00,540.00,"4,680"
PMHPL,403.00,2.62,405.00,395.00,400.50,"2,410"
PMLI,556.00,-0.1,567.00,550.00,550.00,958
PPCL,383.00,0.48,385.00,376.00,385.00,"4,460"
PPL,404.00,1,407.00,400.10,407.00,270
PRIN,840.00,-0.04,909.40,840.00,844.00,"2,417"
PROFL,570.00,-1.34,589.20,567.00,589.20,"4,508"
PRVU,231.00,0.03,232.80,230.40,230.40,"11,242"
PSF,11.57,0.09,11.57,11.35,11.35,"1,000"
PURE,925.00,0.36,939.00,922.00,939.00,"1,461"
RADHI,825.00,1.4,826.00,816.00,816.10,"52,764"
RAWA,850.00,3.28,850.00,807.10,807.10,"2,040"
RBCL,"16,001.00",0.16,"16,001.00","16,001.00","16,001.00",10
RFPL,718.00,-0.78,738.10,700.20,738.10,"15,319"
RHGCL,349.00,-0.03,355.90,348.00,355.00,"3,614"
RHPL,349.00,-0.27,351.00,346.20,346.20,"2,600"
RIDI,278.00,0.03,283.40,278.00,283.40,"20,280"
RLFL,537.00,-0.17,548.00,536.00,548.00,"3,725"
RNLI,510.10,0.03,515.00,509.00,510.00,"36,608"
RSDC,790.00,-2.91,815.00,790.00,815.00,"34,921"
RURU,784.00,0.87,794.00,762.00,762.00,451
SADBL,477.00,-1.15,486.40,476.00,485.00,"40,194"
SAHAS,676.00,-1.04,689.90,675.10,685.00,"15,775"
SALICO,750.00,-0.34,765.90,750.00,765.90,680
SAMAJ,"2,451.58",0,"2,451.58","2,451.58","2,451.58",2
SANIMA,377.00,0.26,380.00,373.00,378.00,"31,323"
SANVI,577.90,9.99,577.90,535.90,535.90,130
SAPDBL,884.50,-1.84,910.00,884.00,901.10,"5,673"
SARBTM,950.00,-0.29,971.80,948.00,971.80,"5,408"
SBCF,10.51,-1.87,10.51,10.51,10.51,100
SBI,442.00,-0.08,445.00,442.00,442.00,"1,000"
SBL,389.40,-1,399.00,389.40,399.00,"49,645"
SCB,668.00,-0.31,668.20,668.00,668.10,652
SEF,10.43,-1.79,10.45,10.43,10.45,200
SFCL,511.00,-0.29,514.00,509.00,510.00,"6,528"
SGHC,424.10,0.81,429.00,422.00,422.00,"2,177"
SGIC,621.00,-0.19,621.10,614.00,614.00,358
SHEL,319.10,0.22,325.00,319.10,320.00,"79,276"
SHINE,458.00,-1.1,461.00,455.60,455.60,"10,458"
SHIVM,637.00,-1.34,658.00,634.00,652.00,"73,096"
SHL,602.00,0.1,613.30,601.20,613.30,"8,231"
SHLB,"2,130.00",0.33,"2,130.00","2,130.00","2,130.00",10
SHPC,629.00,-0.38,640.00,628.00,631.50,"32,814"
SICL,810.00,0.04,812.00,810.00,812.00,"1,354"
SIFC,560.00,-2.26,584.40,560.00,584.40,"2,587"
SIGS2,10.50,-1.87,10.50,10.50,10.50,100
SIKLES,938.00,-0.04,957.10,919.70,919.70,150
SINDU,820.00,-0.91,828.00,805.00,828.00,"4,723"
SJCL,331.30,-0.97,335.00,330.20,330.20,"1,810"
SJLIC,476.00,-0.97,477.00,476.00,476.30,"2,392"
SKBBL,966.00,-1.22,995.00,966.00,995.00,"11,143"
SLBBL,"1,070.00",-0.26,"1,082.00","1,070.00","1,080.00","3,549"
SLBSL,"1,660.00",-0.66,"1,671.10","1,650.00","1,671.10",418
SLCF,10.31,-1.81,10.50,10.31,10.31,"1,300"
