Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
MANDU,872.78,0.43,879.90,865.60,865.60,"3,772"
MATRI,"1,149.67",0.67,"1,160.00","1,136.90","1,136.90","1,091"
MBJC,312.40,-0.27,316.00,311.20,311.30,"51,586"
MBL,232.76,2.85,233.00,226.60,230.00,"110,345"
MBLD87,"1,060.20",1.99,"1,039.50","1,039.50","1,039.50",2
MBLEF,9.10,0.44,9.10,8.97,8.97,"3,600"
MCHL,530.30,-0.27,538.00,522.10,522.10,"4,240"
MDB,592.52,0.32,596.70,590.20,594.90,"12,392"
MEHL,424.91,1.74,435.00,419.00,424.50,"9,277"
MEL,314.75,0.89,317.90,308.80,313.00,"13,918"
MEN,603.12,0.46,609.00,600.60,608.00,"47,797"
MERO,809.38,0.63,820.30,799.00,820.30,"42,692"
MFIL,608.00,0.09,612.00,600.00,600.00,"9,598"
MHCL,446.72,0.28,456.90,439.10,439.10,"13,475"
MHL,569.69,-1.07,587.20,565.00,587.00,"6,841"
MHNL,274.28,-0.41,278.00,271.00,275.40,"35,364"
MKCL,"1,491.68",0.7,"1,503.70","1,466.00","1,466.00","1,927"
MKHC,417.16,0.76,430.00,411.70,411.70,"21,372"
MKHL,817.53,3.59,831.00,773.50,773.50,"178,186"
MKJC,528.06,2.07,535.00,509.00,509.00,"17,958"
MLBBL,"1,512.39",1.11,"1,519.90","1,482.00","1,495.79","5,839"
MLBL,385.67,1.41,387.80,382.00,382.00,"53,202"
MLBS,"1,552.10",1.91,"1,598.00","1,543.00","1,550.00",895
MLBSL,"2,243.21",1.09,"2,255.00","2,211.00","2,211.00","1,073"
MMF1,9.07,-0.44,9.20,8.97,8.97,"13,100"
MMKJL,613.94,3.62,619.10,583.10,583.10,"17,849"
MNBBL,383.38,0.8,385.50,379.00,380.00,"40,247"
MNMF1,9.24,-1.07,9.39,9.05,9.16,"14,200"
MPFL,601.48,-0.51,607.00,596.60,606.00,"7,073"
MSHL,865.46,1.22,870.00,855.00,867.00,"5,460"
MSLB,"1,224.12",0.38,"1,233.00","1,202.50","1,202.50",622
NABBC,"1,644.81",-1.28,"1,697.00","1,633.70","1,635.10","37,557"
NABIL,499.01,0.72,500.00,495.20,500.00,"42,721"
NADEP,861.97,3.72,865.00,825.00,825.00,"8,807"
NBF2,10.06,-0.3,10.09,10.05,10.05,300
NBF3,10.00,-0.6,10.10,9.87,9.87,"127,990"
NBL,264.49,1.41,266.00,258.10,258.10,"173,834"
NBLD85,"1,056.70",2,"1,056.70","1,030.10","1,030.20",80
NBLD87,"1,050.10",0.01,"1,060.00","1,050.10","1,060.00",50
NESDO,"1,579.29",0.11,"1,609.00","1,571.00","1,609.00","2,684"
NFS,729.50,-0.58,745.00,722.00,735.00,"38,322"
NGPL,387.96,0.11,396.00,387.00,390.00,"364,050"
NHDL,661.01,0.31,684.00,660.40,672.00,"6,230"
NHPC,212.19,0.66,213.50,210.10,210.50,"60,523"
NIBD2082,"1,100.00",1.7,"1,100.00","1,065.00","1,065.10",801
NIBD84,"1,055.00",0.48,"1,055.00","1,055.00","1,055.00",50
NIBLGF,9.00,-1.42,9.18,8.97,9.10,"10,900"
NIBLSTF,8.97,1.24,8.97,8.54,8.70,"10,835"
NIBSF2,8.78,0.8,8.84,8.57,8.57,"26,000"
NICA,360.46,3.93,365.00,347.40,350.00,"164,992"
NICAD8283,"1,151.38",-1.34,"1,150.00","1,150.00","1,150.00",130
NICBF,9.46,0.32,9.60,9.41,9.60,"4,525"
NICFC,9.47,0.64,9.50,9.40,9.40,"7,600"
NICGF2,8.92,-0.89,9.22,8.90,8.90,"13,630"
NICL,634.84,1.42,638.00,626.00,638.00,"7,028"
NICLBSL,623.80,1.25,625.00,614.00,620.00,"5,197"
NICSF,9.10,-0.98,9.37,9.01,9.01,"7,505"
NIFRA,279.80,1.34,283.00,274.30,276.00,"211,947"
NIL,699.58,-0.08,708.00,695.00,702.00,"18,947"
NIMB,215.93,1.29,216.90,211.20,211.20,"93,032"
NIMBPO,161.00,-1.83,161.00,160.90,160.90,"1,175"
NLG,809.07,-0.86,824.10,807.60,808.00,"45,427"
NLIC,765.69,0.02,774.00,764.00,764.00,"58,561"
NLICL,620.14,0.16,629.90,618.10,629.90,"22,046"
NMB,252.61,2.16,253.80,245.00,245.00,"51,660"
NMB50,10.60,0,10.60,10.60,10.60,"1,000"
NMBHF2,8.71,-3.01,9.10,8.66,8.81,"2,700"
NMBMF,703.38,0.24,709.00,698.30,709.00,"1,948"
NMFBS,"1,266.98",0.3,"1,270.00","1,253.20","1,270.00","24,997"
NMIC,"1,577.98",-0.27,"1,590.00","1,570.00","1,582.00","12,345"
NMLBBL,673.21,1.7,675.00,663.00,665.00,"18,532"
NRIC,"1,314.68",0.37,"1,334.50","1,283.60","1,283.60","216,442"
NRM,458.01,0.86,460.50,448.10,448.10,"10,749"
NRN,"2,318.62",3.27,"2,325.00","2,232.00","2,232.00","153,873"
NSIF2,10.95,2.53,10.95,10.71,10.84,"248,800"
NTC,846.55,0.18,850.00,842.00,843.00,"11,850"
NUBL,725.78,0.76,727.00,718.00,723.00,"19,113"
NWCL,907.56,1.45,915.00,890.00,890.00,"2,981"
NYADI,486.72,3.74,492.50,468.00,469.00,"80,338"
OHL,877.56,0.44,888.00,873.20,875.00,"4,223"
OMPL,"1,355.33",-0.07,"1,367.00","1,350.40","1,357.20","14,632"
PBD85,"1,060.00",0.47,"1,060.00","1,060.00","1,060.00",30
PBLD87,"1,040.00",0.67,"1,040.00","1,040.00","1,040.00",25
PCBL,260.22,1.17,264.00,256.70,261.90,"228,172"
PFL,419.59,-0.8,429.00,418.00,429.00,"18,930"
PHCL,512.98,-2.77,517.10,507.00,517.10,"16,936"
PMHPL,406.19,4.28,409.00,385.10,385.10,"96,747"
PMLI,526.87,0.75,531.00,520.00,520.00,"7,853"
PMLIP,309.00,0,309.00,309.00,309.00,"14,256"
PPCL,377.82,1.85,385.00,373.30,376.00,"60,372"
PPL,393.82,-0.73,400.00,393.20,396.00,"6,622"
PRIN,936.59,1.3,945.00,929.10,937.70,"79,551"
PROFL,500.66,-0.58,508.90,493.60,493.60,"12,565"
PRSF,11.15,0,11.23,11.15,11.16,"106,700"
PRVU,211.76,2.22,212.70,207.20,208.80,"154,020"
PSF,11.14,0.09,11.15,11.00,11.00,"11,200"
PURE,885.24,-0.74,908.00,881.20,890.00,"16,257"
RADHI,791.30,0.32,820.00,788.50,804.50,"582,106"
RAWA,805.74,0.27,819.60,787.30,819.60,940
RBCL,"14,933.11",0.87,"14,995.00","14,800.00","14,800.00",250
RBCLPO,"11,999.92",0,"12,000.00","11,812.00","11,813.00",85
RFPL,611.79,3.66,619.80,590.00,590.00,"194,646"
RHGCL,382.41,-2.44,397.80,376.00,393.00,"49,399"
RHPL,346.87,-1.08,354.00,342.00,343.70,"112,633"
RIDI,257.13,0.2,261.80,254.20,254.20,"102,273"
RLFL,491.66,-1.42,500.00,490.00,500.00,"19,060"
RMF1,9.91,1.43,9.91,9.62,9.62,"12,660"
RMF2,9.90,0.1,10.03,9.71,9.71,"4,600"
RNLI,472.92,0.05,478.00,470.50,478.00,"30,840"
RSDC,664.11,0.44,671.00,663.00,670.00,"9,940"
RSY,9.19,-2.23,9.22,9.18,9.22,"1,400"
RURU,709.56,-0.66,728.00,700.00,700.00,"8,241"
SADBL,412.89,1.46,415.00,405.80,407.00,"69,101"
SAGF,10.10,0.7,10.10,9.85,9.85,"28,500"
SAHAS,600.33,-0.12,613.00,589.70,589.70,"322,800"
SALICO,709.21,-1.01,716.50,703.20,716.00,"11,889"
SAMAJ,"2,253.16",1.74,"2,258.80","2,190.00","2,214.57",554
SAND2085,"1,182.00",0.42,"1,176.90","1,176.00","1,176.00",45
SANIMA,341.71,2.03,343.50,334.10,339.00,"252,008"
SAPDBL,"1,061.51",-2.03,"1,092.90","1,055.50","1,062.00","47,046"
SARBTM,870.61,1.27,875.00,862.20,869.00,"69,322"
SBCF,10.00,1.11,10.00,9.75,9.85,"38,400"
SBI,411.54,0.95,412.90,405.10,405.10,"38,878"
SBIBD86,"1,112.00",0,"1,112.00","1,112.00","1,112.00",25
SBID83,"1,114.98",1.12,"1,120.00","1,105.00","1,105.00",201
SBL,343.48,1.58,344.40,338.00,340.00,"249,257"
SBLD2082,"1,100.00",0.01,"1,100.00","1,090.00","1,090.00",710
SBLD84,"1,060.00",1.83,"1,060.00","1,060.00","1,060.00",30
SBLD89,"1,270.00",0,"1,270.00","1,270.00","1,270.00",15
SCB,643.08,1.14,644.00,636.20,644.00,"35,636"
SCBD,"1,115.00",-0.18,"1,115.00","1,115.00","1,115.00",25
SEF,10.15,0,10.15,10.04,10.04,"6,125"
SFCL,508.96,-0.22,518.80,504.00,518.50,"30,059"
SFEF,9.91,0,9.91,9.91,9.91,"14,400"
SFMF,10.60,-1.12,10.60,10.60,10.60,200
SGHC,397.45,0.07,403.00,395.10,400.00,"10,895"
SGIC,558.15,-0.37,560.00,549.10,549.10,"30,699"
SHEL,288.49,0.67,293.70,285.00,289.00,"246,461"
SHINE,405.58,0.62,406.90,403.00,405.00,"24,468"
SHIVM,515.79,1.35,517.00,509.50,509.60,"106,045"
SHL,564.13,-0.02,569.90,553.70,565.00,"75,423"
SHLB,"1,939.00",2.87,"1,940.00","1,851.60","1,915.00",812
SHPC,600.35,0.8,608.00,598.00,601.50,"230,739"
SICL,768.42,1.2,775.00,754.10,754.10,"7,838"
SIFC,525.40,-1.19,540.60,520.00,539.00,"19,071"
SIGS2,10.21,0.99,10.40,10.21,10.30,"26,800"
SIGS3,10.30,0,10.44,10.10,10.10,"139,070"
SIKLES,866.84,1.28,890.40,840.00,840.00,"3,654"
SINDU,923.24,0.86,938.00,900.00,915.40,"64,619"
SJCL,317.80,0.29,326.00,313.50,313.50,"5,653"
SJLIC,440.96,0.28,444.90,436.10,436.10,"20,589"
SKBBL,812.09,0.68,821.00,805.00,819.00,"19,791"
SLBBL,908.93,0.31,910.00,896.00,896.00,"6,814"
SLBSL,"1,529.35",1.93,"1,553.40","1,480.00","1,530.00","9,936"
SLCF,10.05,-0.59,10.18,10.05,10.05,"19,800"
SMATA,826.98,1.39,844.50,799.40,799.40,"5,620"
SMB,"2,198.00",1.67,"2,211.50","2,170.00","2,170.00",743
SMFBS,"1,734.66",1.6,"1,741.40","1,697.10","1,741.00","2,597"
SMH,863.18,-1.18,888.00,851.10,888.00,"7,899"
SMHL,976.12,1.06,980.00,955.00,955.00,"6,949"
SMJC,530.18,1.77,535.00,510.60,512.20,"7,816"
SMPDA,943.98,1.33,947.00,926.10,940.00,"1,162"
SNLI,488.72,0.35,493.90,485.10,485.10,"20,764"
SONA,454.18,1.12,458.90,441.00,441.00,"38,408"
SPC,515.66,0.65,520.00,509.00,509.00,"11,309"
SPDL,408.02,2.64,416.00,397.20,405.00,"161,581"
SPHL,658.70,-0.08,670.00,648.40,648.40,850
SPIL,810.32,-0.32,818.90,808.00,808.00,"26,692"
SPL,825.08,2.71,835.90,796.60,813.00,"3,543"
SRBLD83,"1,126.00",1.15,"1,126.00","1,126.00","1,126.00",10
SRLI,403.02,0.55,406.00,400.00,402.00,"81,940"
SSHL,251.62,0.53,257.00,250.00,250.00,"108,138"
STC,"5,250.54",2.31,"5,300.00","5,151.00","5,151.00","3,383"
SWBBL,824.82,0.07,832.00,821.10,827.40,"2,651"
SWMF,709.07,0.01,716.00,703.00,709.00,"1,363"
TAMOR,505.40,-0.03,524.00,504.50,515.00,"36,048"
TPC,401.41,1.75,415.00,394.00,402.00,"69,213"
TRH,938.86,1,943.00,925.00,925.00,"3,657"
TSHL,658.00,1.08,663.00,650.00,651.00,"1,422"
TVCL,487.43,0.1,494.00,486.10,494.00,"11,829"
UAIL,563.74,0.28,567.90,560.10,562.14,"8,860"
UHEWA,559.34,1.09,569.90,552.00,554.00,"11,805"
ULBSL,"3,434.35",0.57,"3,437.00","3,350.00","3,350.00","7,158"
ULHC,486.25,3.22,492.00,472.00,472.00,"52,435"
UMHL,567.58,0.2,571.90,560.10,560.10,"145,592"
UMRH,583.47,0.32,588.00,576.30,588.00,"19,252"
UNHPL,420.63,-0.55,432.90,420.00,431.00,"214,474"
UNL,"46,888.00",1.27,"46,888.00","46,888.00","46,888.00",10
UNLB,"2,189.00",2.69,"2,200.00","2,102.40","2,131.56",880
UPCL,409.06,2.9,415.90,401.50,405.40,"289,056"
UPPER,195.69,0.41,196.40,193.00,196.00,"129,094"
USHEC,445.55,1.22,452.70,440.00,440.00,"21,061"
USHL,617.80,1.53,619.90,597.10,619.90,"2,058"
USLB,"1,808.23",-0.4,"1,818.60","1,770.00","1,780.00","3,514"
VLBS,860.23,1.63,865.90,829.60,829.60,"4,568"
VLUCL,596.80,0.78,606.80,589.70,589.70,"5,955"
WNLB,"2,100.85",0.57,"2,130.00","2,091.00","2,125.00","1,021"
